CSD_code,HL_Gap,smallest_distance1,smallest_distance2,smallest_distance3,smallest_distance4,largest_coulomb1,largest_coulomb2,largest_coulomb3,largest_coulomb4
ABAJAP,0.05942,1.8394955930853936,1.9817891836397874,2.2145820912479857,2.2326294038550776,106.55094838865494,98.90052969207507,88.50428294105274,87.78886440426123
ABASEC,0.11195,1.8284096764455589,1.9489554570242567,2.0070596877548326,2.011575104559303,107.19698245145221,100.56669037437143,97.65529206520634,97.43608357240024
ABEDUH,0.04748,1.8697801254199158,2.0173332597782054,2.2079211145972044,2.2688850327523093,202.90579995731846,119.80018236085058,111.0376775449722,74.0451797137578
ABEPAA,0.14632,1.8821406228000852,2.062249231927697,2.201932232357149,2.209057084721107,230.81594243342585,190.74156498921573,190.1263678991912,89.26006801238061
ABEPEE,0.14839,1.885783720079942,2.0542868236483476,2.198262868094859,2.2137260181270184,231.71058418932915,191.05995288179352,189.72537548045452,89.08762877265593
ABESEI,0.04951,1.8660435317765627,1.8660676729930796,2.1040847404267295,2.104198940872881,120.04007204844856,120.03851909653156,106.45959057455573,106.45381273078603
ABIPIK,0.08033,1.8967136670579092,1.8998932338117507,1.9032249617728334,1.905232306077175,103.33663082842955,103.1636917863883,102.98309655282586,102.87459401922438
ABOMAI,0.05146,1.8324263690257885,1.8727730114761083,1.9683737561330457,2.146867292941743,221.7184087553737,106.96200584812782,104.65763805807624,99.57458505494931
ABOPOX,0.10671,1.8411110042069294,2.049129849369081,2.049410865779138,2.4109597208344615,615.5225187612716,95.65035620380408,95.63724057132164,91.24925092301379
ABOQEO,0.10259,1.8773110947028733,1.8775657362574265,2.189924394209307,2.190010019322719,191.78744303254587,191.779944518194,104.40464585387294,104.3904861571926
ABOQOY,0.10041,2.0725901964584277,2.0790225819894097,2.09006225368796,2.1947035644214807,191.3698081183511,80.80720308446162,80.38038087313446,13.50966536840976
ABOTNI,0.05655,1.7777219302410807,1.7777222835318651,2.2432750694192265,2.2432752914823504,110.2534635286971,110.25344161777605,99.85400500081899,99.85399511621304
ABUSEW,0.13776,1.9447409321763032,2.1331625186112513,2.1331748262918935,2.465719719981541,601.8526712399857,196.89076492560528,196.88962893401836,86.38682778790287
ABUSIA,0.01144,1.9254524305100063,2.2421993425796187,2.330359418436697,2.410817033537386,615.5589492507154,187.3160838218764,180.2297090642583,87.25222048487629
ABUVUO,0.0601,1.8301296616277334,1.830161296312378,2.076840208778932,2.076939237726908,122.39569943955361,122.3935838067067,94.37413584901519,94.36963606817447
ABUVUP,0.07621,1.8270110687475256,1.8271174254368092,1.9650236445125375,1.9650976552169945,122.60462119343325,122.5974843660901,99.74434686694146,99.74059023461449
ABUWAV,0.05087,1.9799614305224464,1.980269655385799,2.114072482789039,2.114773190951482,225.15784291938087,225.0832392034615,98.99182730457638,98.97641943203689
ABXNIH,0.11215,1.8288892933085272,1.94630823718001,2.0072490409578965,2.0104361062790024,107.16887059108366,100.70347350735297,97.64607978413339,97.4912852927044
ACANPI,0.01607,1.8471602214543659,1.8472980652850246,2.271373318675358,2.27297925393459,106.10882462901834,106.10090687761243,98.61875111337247,98.5490736935895
ACAPNI,0.06022,1.9033579386647765,1.9033628391712232,1.906558861966306,1.9065592401622407,117.6867448048884,117.68644180188775,117.48916042853267,117.48913712271458
